score,group
47.9,testing
41.4,training
87.6,testing
94.1,training
90.2,training
67.5,validation
91.8,testing
96.1,training
76.8,training
96.2,training
45.3,validation
0.0,training
0.0,testing
10.2,validation
25.0,training
77.3,training
53.1,validation
52.5,validation
85.3,training
85.4,training
72.9,validation
73.4,training
74.6,validation
78.1,training
67.5,validation
84.5,validation
0.0,training
92.0,training
85.2,testing
57.4,training
79.8,training
66.1,training
71.7,training
66.0,training
72.0,validation
83.5,validation
49.3,training
73.4,validation
73.2,training
92.9,training
65.8,training
92.2,testing
30.1,validation
62.2,training
69.0,testing
55.7,training
82.4,validation
88.7,training
70.1,validation
74.1,validation
65.1,validation
61.3,training
91.8,training
95.6,training
82.5,testing
0.0,training
82.5,training
73.5,training
28.1,training
90.5,training
97.9,training
60.5,training
95.1,training
87.3,training
76.3,training
71.6,validation
74.0,validation
84.8,training
88.5,testing
94.6,training
93.0,training
75.5,training
88.1,training
88.9,training
86.2,training
76.3,training
79.8,training
70.5,testing
62.8,training
94.3,validation
96.8,validation
68.7,training
22.8,validation
96.2,testing
63.2,training
93.5,validation
91.2,testing
81.6,training
86.3,validation
17.4,training
87.2,training
63.4,training
92.4,testing
45.6,training
96.5,training
92.0,validation
92.0,testing
86.4,training
96.5,training
30.0,validation
67.8,training
88.9,validation
63.7,training
85.2,validation
66.9,validation
96.4,validation
95.9,training
64.8,testing
83.7,testing
84.6,testing
74.9,training
98.4,training
89.9,validation
87.8,validation
62.7,training
83.7,training
78.5,validation
83.4,training
97.5,testing
2.1,validation
94.5,testing
96.6,training
45.7,training
94.8,training
82.6,training
75.1,validation
93.0,training
60.4,training
86.3,validation
96.5,training
97.9,testing
92.7,validation
72.8,testing
92.1,testing
25.3,training
70.2,training
86.8,training
88.3,testing
75.7,testing
65.1,validation
93.5,training
65.6,training
73.3,training
77.5,training
87.4,testing
93.6,training
34.9,training
93.0,validation
86.9,testing
26.0,training
82.0,training
95.6,training
94.7,training
88.6,training
72.1,training
81.7,validation
93.9,training
2.8,validation
85.4,validation
93.6,testing
87.3,training
55.4,training
81.8,validation
96.6,training
96.9,validation
64.4,training
96.6,training
66.7,validation
95.4,training
91.8,testing
77.9,training
67.2,testing
92.4,training
79.2,testing
84.1,validation
77.0,training
28.8,training
84.2,testing
87.4,testing
87.8,testing
82.6,training
94.2,validation
86.0,training
43.2,testing
91.8,validation
47.5,training
96.6,training
96.5,training
63.7,training
96.0,training
